task,side,instr,lang,measure,model,value
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,Qwen1.5-7B,0.064
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,Qwen1.5-14B,0.088
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,Qwen1.5-72B,0.339
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,LLaMa2-7B,0.043
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,LLaMa2-13B,0.064
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,LLaMa2-70B,0.063
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,DeVops-7B,0.064
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,DeVops-14B,0.108
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,InternLM2-7B,0.094
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,InternLM2-20B,0.198
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,AquilaChat-7B,0.048
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,GPT-3.5,0.244
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,GPT-4,0.678
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,Gemini Pro,0.235
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,Mistral-7B,0.101
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,BaiChuan2-13B,0.001
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,GhatGLM4,0.271
Log Parsing,naive Q&A,zero-shot,Chinese,accuracy,Claude3 Sonnet,0.484
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,Qwen1.5-7B,45.47
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,Qwen1.5-14B,40.69
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,Qwen1.5-72B,16.37
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,LLaMa2-7B,48.27
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,LLaMa2-13B,44.87
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,LLaMa2-70B,45.19
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,DeVops-7B,46.11
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,DeVops-14B,37.29
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,InternLM2-7B,41.87
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,InternLM2-20B,28.51
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,AquilaChat-7B,47.99
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,GPT-3.5,22.97
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,GPT-4,7.73
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,Gemini Pro,23.11
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,Mistral-7B,44.71
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,BaiChuan2-13B,49.97
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,GhatGLM4,19.47
Log Parsing,naive Q&A,zero-shot,Chinese,edit distance,Claude3 Sonnet,11.69
Log Parsing,naive Q&A,zero-shot,English,accuracy,Qwen1.5-7B,0.053
Log Parsing,naive Q&A,zero-shot,English,accuracy,Qwen1.5-14B,0.078
Log Parsing,naive Q&A,zero-shot,English,accuracy,Qwen1.5-72B,0.176
Log Parsing,naive Q&A,zero-shot,English,accuracy,LLaMa2-7B,0.053
Log Parsing,naive Q&A,zero-shot,English,accuracy,LLaMa2-13B,0.080 
Log Parsing,naive Q&A,zero-shot,English,accuracy,LLaMa2-70B,0.082
Log Parsing,naive Q&A,zero-shot,English,accuracy,DeVops-7B,0.091
Log Parsing,naive Q&A,zero-shot,English,accuracy,DeVops-14B,0.223
Log Parsing,naive Q&A,zero-shot,English,accuracy,InternLM2-7B,0.187
Log Parsing,naive Q&A,zero-shot,English,accuracy,InternLM2-20B,0.211
Log Parsing,naive Q&A,zero-shot,English,accuracy,AquilaChat-7B,0.026
Log Parsing,naive Q&A,zero-shot,English,accuracy,GPT-3.5,0.223
Log Parsing,naive Q&A,zero-shot,English,accuracy,GPT-4,0.476
Log Parsing,naive Q&A,zero-shot,English,accuracy,Gemini Pro,0.284
Log Parsing,naive Q&A,zero-shot,English,accuracy,Mistral-7B,0.146
Log Parsing,naive Q&A,zero-shot,English,accuracy,BaiChuan2-13B,0.001
Log Parsing,naive Q&A,zero-shot,English,accuracy,GhatGLM4,0.180 
Log Parsing,naive Q&A,zero-shot,English,accuracy,Claude3 Sonnet,0.381
Log Parsing,naive Q&A,zero-shot,English,edit distance,Qwen1.5-7B,47.71
Log Parsing,naive Q&A,zero-shot,English,edit distance,Qwen1.5-14B,43.89
Log Parsing,naive Q&A,zero-shot,English,edit distance,Qwen1.5-72B,23.91
Log Parsing,naive Q&A,zero-shot,English,edit distance,LLaMa2-7B,47.53
Log Parsing,naive Q&A,zero-shot,English,edit distance,LLaMa2-13B,41.57
Log Parsing,naive Q&A,zero-shot,English,edit distance,LLaMa2-70B,42.43
Log Parsing,naive Q&A,zero-shot,English,edit distance,DeVops-7B,44.91
Log Parsing,naive Q&A,zero-shot,English,edit distance,DeVops-14B,32.99
Log Parsing,naive Q&A,zero-shot,English,edit distance,InternLM2-7B,38.23
Log Parsing,naive Q&A,zero-shot,English,edit distance,InternLM2-20B,30.19
Log Parsing,naive Q&A,zero-shot,English,edit distance,AquilaChat-7B,49.77
Log Parsing,naive Q&A,zero-shot,English,edit distance,GPT-3.5,24.43
Log Parsing,naive Q&A,zero-shot,English,edit distance,GPT-4,11.29
Log Parsing,naive Q&A,zero-shot,English,edit distance,Gemini Pro,19.31
Log Parsing,naive Q&A,zero-shot,English,edit distance,Mistral-7B,40.23
Log Parsing,naive Q&A,zero-shot,English,edit distance,BaiChuan2-13B,49.83
Log Parsing,naive Q&A,zero-shot,English,edit distance,GhatGLM4,25.39
Log Parsing,naive Q&A,zero-shot,English,edit distance,Claude3 Sonnet,15.47
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,Qwen1.5-7B,0.229
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,Qwen1.5-14B,0.426
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,Qwen1.5-72B,0.709
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,LLaMa2-7B,0.062
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,LLaMa2-13B,0.005
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,LLaMa2-70B,0.102
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,DeVops-7B,0.064
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,DeVops-14B,0.186
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,InternLM2-7B,0.271
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,InternLM2-20B,0.645
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,AquilaChat-7B,0.037
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,GPT-3.5,0.262
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,GPT-4,0.903
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,Gemini Pro,0.881
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,Mistral-7B,0.127
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,BaiChuan2-13B,0.000 
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,GhatGLM4,0.537
Log Parsing,naive Q&A,few-shot,Chinese,accuracy,Claude3 Sonnet,0.871
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,Qwen1.5-7B,31.29
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,Qwen1.5-14B,18.51
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,Qwen1.5-72B,9.89
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,LLaMa2-7B,46.17
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,LLaMa2-13B,49.33
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,LLaMa2-70B,43.23
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,DeVops-7B,45.25
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,DeVops-14B,30.89
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,InternLM2-7B,25.93
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,InternLM2-20B,8.59
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,AquilaChat-7B,48.67
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,GPT-3.5,20.87
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,GPT-4,2.69
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,Gemini Pro,5.57
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,Mistral-7B,42.59
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,BaiChuan2-13B,49.91
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,GhatGLM4,10.57
Log Parsing,naive Q&A,few-shot,Chinese,edit distance,Claude3 Sonnet,2.53
Log Parsing,naive Q&A,few-shot,English,accuracy,Qwen1.5-7B,0.311
Log Parsing,naive Q&A,few-shot,English,accuracy,Qwen1.5-14B,0.431
Log Parsing,naive Q&A,few-shot,English,accuracy,Qwen1.5-72B,0.533
Log Parsing,naive Q&A,few-shot,English,accuracy,LLaMa2-7B,0.104
Log Parsing,naive Q&A,few-shot,English,accuracy,LLaMa2-13B,0.040 
Log Parsing,naive Q&A,few-shot,English,accuracy,LLaMa2-70B,0.064
Log Parsing,naive Q&A,few-shot,English,accuracy,DeVops-7B,0.142
Log Parsing,naive Q&A,few-shot,English,accuracy,DeVops-14B,0.151
Log Parsing,naive Q&A,few-shot,English,accuracy,InternLM2-7B,0.340 
Log Parsing,naive Q&A,few-shot,English,accuracy,InternLM2-20B,0.528
Log Parsing,naive Q&A,few-shot,English,accuracy,AquilaChat-7B,0.035
Log Parsing,naive Q&A,few-shot,English,accuracy,GPT-3.5,0.204
Log Parsing,naive Q&A,few-shot,English,accuracy,GPT-4,0.873
Log Parsing,naive Q&A,few-shot,English,accuracy,Gemini Pro,0.801
Log Parsing,naive Q&A,few-shot,English,accuracy,Mistral-7B,0.153
Log Parsing,naive Q&A,few-shot,English,accuracy,BaiChuan2-13B,0.001
Log Parsing,naive Q&A,few-shot,English,accuracy,GhatGLM4,0.601
Log Parsing,naive Q&A,few-shot,English,accuracy,Claude3 Sonnet,0.867
Log Parsing,naive Q&A,few-shot,English,edit distance,Qwen1.5-7B,27.59
Log Parsing,naive Q&A,few-shot,English,edit distance,Qwen1.5-14B,18.73
Log Parsing,naive Q&A,few-shot,English,edit distance,Qwen1.5-72B,10.89
Log Parsing,naive Q&A,few-shot,English,edit distance,LLaMa2-7B,44.61
Log Parsing,naive Q&A,few-shot,English,edit distance,LLaMa2-13B,47.11
Log Parsing,naive Q&A,few-shot,English,edit distance,LLaMa2-70B,45.67
Log Parsing,naive Q&A,few-shot,English,edit distance,DeVops-7B,38.73
Log Parsing,naive Q&A,few-shot,English,edit distance,DeVops-14B,35.87
Log Parsing,naive Q&A,few-shot,English,edit distance,InternLM2-7B,19.67
Log Parsing,naive Q&A,few-shot,English,edit distance,InternLM2-20B,14.17
Log Parsing,naive Q&A,few-shot,English,edit distance,AquilaChat-7B,48.49
Log Parsing,naive Q&A,few-shot,English,edit distance,GPT-3.5,26.57
Log Parsing,naive Q&A,few-shot,English,edit distance,GPT-4,3.29
Log Parsing,naive Q&A,few-shot,English,edit distance,Gemini Pro,6.89
Log Parsing,naive Q&A,few-shot,English,edit distance,Mistral-7B,39.49
Log Parsing,naive Q&A,few-shot,English,edit distance,BaiChuan2-13B,49.79
Log Parsing,naive Q&A,few-shot,English,edit distance,GhatGLM4,8.61
Log Parsing,naive Q&A,few-shot,English,edit distance,Claude3 Sonnet,1.97
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,Qwen1.5-7B,0.536
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,Qwen1.5-14B,0.35
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,Qwen1.5-72B,0.334
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,LLaMa2-7B,0.19
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,LLaMa2-13B,0.416
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,LLaMa2-70B,0.562
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,DeVops-7B,0.1
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,DeVops-14B,0.175
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,InternLM2-7B,0.392
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,InternLM2-20B,0.368
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,AquilaChat-7B,0.195
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,GPT-3.5,0.243
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,GPT-4,0.331
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,Gemini Pro,0.557
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,Mistral-7B,0.277
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,BaiChuan2-13B,0.286
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,GhatGLM4,0.485
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,accuracy,Claude3 Sonnet,0.347
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,Qwen1.5-7B,0.129
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,Qwen1.5-14B,0.099
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,Qwen1.5-72B,0.097
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,LLaMa2-7B,0.006
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,LLaMa2-13B,0.057
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,LLaMa2-70B,0.036
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,DeVops-7B,0.04
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,DeVops-14B,0.047
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,InternLM2-7B,0.082
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,InternLM2-20B,0.088
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,AquilaChat-7B,0.066
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,GPT-3.5,0.084
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,GPT-4,0.097
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,Gemini Pro,0.139
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,Mistral-7B,0.162
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,BaiChuan2-13B,0.005
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,GhatGLM4,0.121
Log Anomaly Detection,naive Q&A,zero-shot,Chinese,F1-score,Claude3 Sonnet,0.099
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,Qwen1.5-7B,0.505
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,Qwen1.5-14B,0.195
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,Qwen1.5-72B,0.239
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,LLaMa2-7B,0.943
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,LLaMa2-13B,0.659
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,LLaMa2-70B,0.693
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,DeVops-7B,0.21
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,DeVops-14B,0.259
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,InternLM2-7B,0.341
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,InternLM2-20B,0.334
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,AquilaChat-7B,0.6
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,GPT-3.5,0.285
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,GPT-4,0.333
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,Gemini Pro,0.417
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,Mistral-7B,0.631
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,BaiChuan2-13B,0.256
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,GhatGLM4,0.358
Log Anomaly Detection,naive Q&A,zero-shot,English,accuracy,Claude3 Sonnet,0.354
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,Qwen1.5-7B,0.114
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,Qwen1.5-14B,0.038
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,Qwen1.5-72B,0.063
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,LLaMa2-7B,0.095
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,LLaMa2-13B,0.122
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,LLaMa2-70B,0.044
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,DeVops-7B,0.037
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,DeVops-14B,0.055
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,InternLM2-7B,0.075
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,InternLM2-20B,0.089
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,AquilaChat-7B,0.042
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,GPT-3.5,0.082
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,GPT-4,0.097
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,Gemini Pro,0.109
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,Mistral-7B,0.092
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,BaiChuan2-13B,0
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,GhatGLM4,0.092
Log Anomaly Detection,naive Q&A,zero-shot,English,F1-score,Claude3 Sonnet,0.1
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,Qwen1.5-7B,0.004
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,Qwen1.5-14B,0.11
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,Qwen1.5-72B,0.33
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,LLaMa2-7B,0.001
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,LLaMa2-13B,0
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,LLaMa2-70B,0.006
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,DeVops-7B,0.145
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,DeVops-14B,0.237
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,InternLM2-7B,0.311
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,InternLM2-20B,0.342
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,AquilaChat-7B,0.263
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,GPT-3.5,0.371
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,GPT-4,0.564
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,Gemini Pro,0.602
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,Mistral-7B,0.706
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,BaiChuan2-13B,0.277
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,GhatGLM4,0.113
Log Anomaly Detection,naive Q&A,few-shot,Chinese,accuracy,Claude3 Sonnet,0.464
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,Qwen1.5-7B,0.078
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,Qwen1.5-14B,0.191
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,Qwen1.5-72B,0.495
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,LLaMa2-7B,0
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,LLaMa2-13B,0
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,LLaMa2-70B,0
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,DeVops-7B,0.024
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,DeVops-14B,0.041
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,InternLM2-7B,0.088
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,InternLM2-20B,0.081
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,AquilaChat-7B,0.046
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,GPT-3.5,0.088
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,GPT-4,0.136
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,Gemini Pro,0.141
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,Mistral-7B,0.122
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,BaiChuan2-13B,0.001
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,GhatGLM4,0.3
Log Anomaly Detection,naive Q&A,few-shot,Chinese,F1-score,Claude3 Sonnet,0.082
Log Anomaly Detection,naive Q&A,few-shot,English,accuracy,Qwen1.5-7B,0.095
Log Anomaly Detection,naive Q&A,few-shot,English,accuracy,Qwen1.5-14B,0.031
Log Anomaly Detection,naive Q&A,few-shot,English,accuracy,Qwen1.5-72B,0.274
Log Anomaly Detection,naive Q&A,few-shot,English,accuracy,LLaMa2-7B,0.004
